header,is_outcome,is_group_attribute,type,ordering
NumRevolvingTradesWBalance_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_3_50__4_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_4_50__5_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_5_50__7_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_7_50__9_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_9_50__inf_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_Special,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_3_50__4_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_4_50__inf_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_Special,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_3_50__inf_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_Special,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_32_50__48_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_48_50__60_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_60_50__66_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_66_50__68_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_68_50__73_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_73_50__75_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_75_50__80_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_80_50__87_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_87_50__98_00_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_98_00__inf_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_Special,FALSE,FALSE,numeric,NA
